ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20250228,3320.8973,3374.6636,3383.1909,3318.7162,3388.0622,-67.1649,-1.9824,568319504.0,758054890.4
000001.SH,20250303,3316.9253,3328.3955,3349.0169,3304.5931,3320.8973,-3.972,-0.1196,502417862.0,643980683.0
000001.SH,20250304,3324.2099,3300.498,3327.8242,3297.5304,3316.9253,7.2846,0.2196,429996111.0,568728427.2
000001.SH,20250305,3341.9649,3324.6962,3342.7143,3314.1478,3324.2099,17.755,0.5341,460952696.0,587767599.8
000001.SH,20250306,3381.0983,3353.5703,3387.0538,3348.684,3341.9649,39.1334,1.171,539992709.0,736438106.7
000001.SH,20250307,3372.5458,3373.1808,3390.9442,3363.9288,3381.0983,-8.5525,-0.253,517663551.0,687879051.0
000001.SH,20250310,3366.163,3373.2588,3375.7978,3347.1859,3372.5458,-6.3828,-0.1893,450380832.0,595026433.9
000001.SH,20250311,3379.8284,3335.4394,3379.8287,3334.8313,3366.163,13.6654,0.406,448468323.0,592285777.9
000001.SH,20250312,3371.9235,3385.6853,3392.4086,3370.2204,3379.8284,-7.9049,-0.2339,502195100.0,648501625.9
000001.SH,20250313,3358.7285,3371.0945,3377.1183,3341.1182,3371.9235,-13.195,-0.3913,519013479.0,636211623.5
000001.SH,20250314,3419.5616,3361.6861,3421.2333,3360.6063,3358.7285,60.8331,1.8112,582663388.0,750041647.2
000001.SH,20250317,3426.1285,3430.8093,3436.3516,3422.4618,3419.5616,6.5669,0.192,515685138.0,639349980.4
000001.SH,20250318,3429.7593,3434.5653,3437.0654,3423.3005,3426.1285,3.6308,0.106,454916063.0,586338207.3
000001.SH,20250319,3426.4291,3424.1726,3439.0463,3414.5933,3429.7593,-3.3302,-0.0971,440316299.0,559970207.9
000001.SH,20250320,3408.9482,3425.2157,3427.0454,3404.662,3426.4291,-17.4809,-0.5102,451630682.0,565607596.6
000001.SH,20250321,3364.8307,3401.7593,3414.7094,3355.8396,3408.9482,-44.1175,-1.2942,520862630.0,623164007.3
000001.SH,20250324,3370.0283,3364.8342,3373.6936,3340.2383,3364.8307,5.1976,0.1545,513310260.0,586745474.4
000001.SH,20250325,3369.9763,3370.0008,3379.9884,3361.0462,3370.0283,-0.052,-0.0015,456357393.0,516435662.2
000001.SH,20250326,3368.6973,3365.6658,3382.3424,3365.6658,3369.9763,-1.279,-0.038,428533770.0,485185602.3
000001.SH,20250327,3373.7489,3362.7123,3394.0349,3351.1739,3368.6973,5.0516,0.15,414776314.0,496457111.7
000001.SH,20250328,3351.3068,3372.0388,3375.0528,3346.0807,3373.7489,-22.4421,-0.6652,412284289.0,468807615.3
000001.SH,20250331,3335.7462,3343.3442,3361.7415,3317.7381,3351.3068,-15.5606,-0.4643,472571978.0,531475775.8
000001.SH,20250401,3348.4351,3340.7121,3357.6215,3338.7788,3335.7462,12.6889,0.3804,422588670.0,499415666.0
000001.SH,20250402,3350.1266,3344.1711,3361.134,3343.1155,3348.4351,1.6915,0.0505,350127364.0,411666039.5
000001.SH,20250403,3342.0077,3319.6057,3358.4256,3319.6057,3350.1266,-8.1189,-0.2423,400517827.0,486510413.0
